,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DDOG,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM,ZS
AAPL,1.0,0.757065172531962,0.793865008329557,0.4760497370105706,0.07460638752365345,0.4252178798395901,-0.676759569331362,0.33874533918313215,0.8890214233795685,0.9340247990537301,-0.17577800747192182,0.8847061989178873,0.7506611152800292,0.5526955026657078,0.8826759650933852,0.03276782110477113,-0.22900105413194738,0.8099437105530024,0.5045433834596533,0.9066412232639937,0.5593892016127582,0.32970341112717494,0.7205017395087907,0.7921637514046568,0.9452218062032596,0.7676255266646654,0.5208905521364897,0.5618619350325704,0.35808803259378014,0.7901988825454134,0.6068933552677427,0.8016654632037238,-0.28625466065320315,0.11043095461956828,0.5725818385213624,-0.12444274052156491,-0.7467697064776107,-0.487648460622052,0.198726196406593,0.9119945246686957,0.5828943048309339,0.45005478225373136,-0.08291412125518184,-0.7907738855443046,0.8562893633833317,0.8600144247014655,-0.38994232279127855,0.3719870779261825,-0.4587420228609707,0.7359750452980393,0.7584727960504751,0.7900847057569714,-0.804290787189443,-0.6827897009170808,-0.6851919709641253,0.7552630227365116,0.9049074435912664,0.8007971845880678,0.7835770523706035,0.5621474799437554,0.5680981802261373,0.6899625320197431,0.9342385001331741,0.6862888572298526,-0.7973748124451197,0.8268823817744934,0.9452156579223887,0.8055705619642297,0.837618781243776,0.923552942027819,0.7496349738394105,0.6376144476192003,0.6534616622058078,0.8665176417027831,0.9089172735315167,0.2646409517808572,0.8023664224939754,0.031692085055831105,0.12377837877085027,-0.5556727361669139,-0.040509860091278514,0.31925229610783823,0.07033908694516791,-0.28869835480953826,0.793250921277483,-0.3302329927186517,0.8392684910861291,0.626242114183884,-0.3432373356612136,0.8533733008174523,0.8943777935893472,-0.19860880475288187,0.8574702681104964,0.8374571826675411,-0.680349759781621,-0.1706450814611352,0.8566341156000536,-0.6524642901052015,-0.2357237710478793,0.6669863088414255
ABNB,0.757065172531962,1.0,0.6519264661500018,0.5721256539843652,0.2702553251575088,0.6234393527675273,-0.5510315876255264,0.5777390323727636,0.7480233755538177,0.6447217882737906,-0.12942149514622625,0.6930551562349745,0.6927420315219002,0.3694195593417424,0.6813205860557189,-0.15124451595523947,-0.31587900142961234,0.7924813199767661,0.6615945566203311,0.7018108764801392,0.42745036835630434,0.5508592480924294,0.7103290150448286,0.7180305600057175,0.6671124109868745,0.5311436924246061,0.6216167323324426,0.40936698765792345,0.19161538320777982,0.5363387852696754,0.7175631945782712,0.6305681955515157,-0.23495414302703838,0.06282513707899187,0.2008933115921274,0.17437610824692967,-0.5801045192857052,-0.31759199801300747,0.30558366880947563,0.6863370553079406,0.5176100955537958,0.36301132380481704,0.23300744528316797,-0.631539936132816,0.631502058826508,0.6385671929378096,-0.37178844743722994,0.5335146628384445,-0.30371447084212727,0.5573194882807657,0.6829083592526308,0.4699085537224298,-0.5518076061937679,-0.3468490259934833,-0.5972167617132278,0.553980769262276,0.7312653504903667,0.5208355245362685,0.7801516843777025,0.7165521270258264,0.2915351835968788,0.5974566403593747,0.7312269585604279,0.4297163801934272,-0.594540562932821,0.7244492086521094,0.6305004931254908,0.5921809364500796,0.6544461731530367,0.7336801513304151,0.8691022394047875,0.7869281120421324,0.7870083447951001,0.555990077330707,0.7234874204867204,0.4431137884018539,0.7660701330461059,0.14838888913872106,0.03238709818436593,-0.2219519335949282,0.18102597598215436,0.35682554431797947,0.11974745844898967,-0.2514674727148805,0.5992113743134756,-0.2004330037555848,0.6187703245244223,0.7614112770487691,-0.22727466603197663,0.8706774964824495,0.8198035708304111,0.01805266432963238,0.6432884612201053,0.5495489535062509,-0.526588536804074,0.1738406582407819,0.775389227205284,-0.6318009764952291,0.17266271181302367,0.557109806472522
ADBE,0.793865008329557,0.6519264661500018,1.0,0.02899881836078449,0.45490367832328693,0.5025252854269996,-0.8571855036467925,-0.02603330474204945,0.9174877125713254,0.7624622337195651,0.3707773867195461,0.9475264525556799,0.33390147219898997,0.2058373674517485,0.9618435898921496,-0.3730407555880984,-0.6529387593890632,0.8497482359319999,0.8148078178689235,0.9020899432919323,0.9215879025507261,0.6847132711259862,0.8089077284482868,0.952401771276534,0.8859598599864644,0.8902296696259543,0.6801866539378941,0.5750326043901599,0.19269964296257558,0.9368537433851895,0.769470636205967,0.7900389489973643,-0.6668425161973136,-0.31576661469130185,0.5200579140769155,-0.34421037892535805,-0.8346361954468043,-0.6095476734067293,0.6261756006765321,0.8488513903318399,0.07607583311134701,-0.09554819103307467,-0.3799975170021802,-0.7144868655549712,0.907223311876966,0.9046098620142295,-0.4582104239294607,0.027108461074487677,-0.8186235305279544,0.9152396427887179,0.9434729985332052,0.5663092879754618,-0.7148889260431754,-0.6552139492943627,-0.8927066548928411,0.9384309010756614,0.9205478788216394,0.8267392928157701,0.8907184387969436,0.34257715279945294,0.14027632916003985,0.6083713261664957,0.9101334021095844,0.3287133746129843,-0.847651626065291,0.7759711366433569,0.8720631247288888,0.8529752734824264,0.8849722969942281,0.9357588496655385,0.7591413076381912,0.840650212121594,0.43949615274378007,0.7604110072920232,0.8954941188723364,0.562087918198664,0.9394589376378908,0.5236520067774955,-0.34863388247536414,-0.7168911996512832,-0.014715613999642139,0.481595017392596,0.5549640522056739,-0.49164724480829525,0.6410596360727847,0.039830377096114276,0.9453560626880758,0.7852409433262602,-0.2002416876104529,0.7974350216058156,0.7887210353447011,-0.5147202339094,0.9044911976893406,0.8216393323727813,-0.8864445732514749,-0.46389600044113544,0.9096550030095586,-0.8403161147352999,-0.2685639558426145,0.9001310653222516
ADI,0.4760497370105706,0.5721256539843652,0.02899881836078449,1.0,-0.23487249194135024,0.3172937572512171,0.12461612559070202,0.7199454898184519,0.27395387247618513,0.4213150517434019,-0.6437804400345443,0.1435754460730808,0.7873263664737874,0.6533245957665988,0.15504501151480235,0.3227403733075609,0.24028458713266534,0.24036865211490785,-0.08233702454293496,0.2552017183783202,-0.2789488593046744,-0.1856603400509504,0.09756753798774605,0.08701851663638088,0.25857779464284447,0.0429952366908903,0.06191910135711395,0.1709075025674255,0.3219932402087046,0.03399363657044206,0.13870091442229027,0.2900255211924121,0.451733541867475,0.6623711579297388,0.13948195860006993,0.3747882303546369,0.02939611576057377,0.1324515087181629,-0.3845630587740562,0.30788886828901735,0.7618850834311895,0.7985431911618294,0.7047115111065533,-0.21208836318687524,0.07940881372745212,0.08977233971929902,0.06515008819615521,0.7853197958102012,0.3887847109937231,0.07295901461853746,0.07826117980847597,0.36784690839200873,-0.149225345437891,0.08788067766378653,0.08796351620449205,0.039555210297492704,0.2613429033582275,0.11817226504097188,0.16182973072259327,0.8095933522305774,0.5056145149806891,0.3277866157912111,0.22847636526407789,0.481559132242485,-0.047486040689800856,0.35039058119919514,0.24724636587016166,0.13395251290752488,0.22910731213261284,0.20989229423913208,0.47616608004321204,0.12384162828103117,0.5487355923641974,0.24043892357564978,0.2598065925849556,0.02417313267232075,0.16020214075340258,-0.38513283879987253,0.5460166946992937,0.2949433189653462,0.37620097326909097,-0.044707718695894814,-0.3536362991448623,0.26326496278774353,0.3007519547121697,-0.34621701461083815,0.09528928594557065,0.13841183548865674,-0.09579131700917887,0.4370484880438754,0.3666162334052638,0.6003375822508018,0.07778674013042856,0.046363980683511,0.15970579392180692,0.5828999724776877,0.28775492319116486,0.05367142106119868,0.3966133778523449,-0.01797084050549808
ADP,0.07460638752365345,0.2702553251575088,0.45490367832328693,-0.23487249194135024,1.0,0.29632990495189193,-0.3684639227319126,0.04677950065628366,0.34303723907033423,-0.004608861802244493,0.6162041574199615,0.33088528118947375,-0.20779601301039854,-0.26506540007495993,0.34946856446937485,-0.2404940126263334,-0.3608158831178911,0.37059262340934895,0.706690360796731,0.1330490440889369,0.5392441436789803,0.6835901169764929,0.5866856639984779,0.40373191189850605,0.14882984293758755,0.18002015635758672,0.576334045420751,0.3927119057705684,0.08649512456426824,0.3492857573222093,0.5315381674070917,0.321623512840845,-0.3494049305661079,-0.3814230003825125,0.05724681827329106,-0.03889566687073874,-0.1755641395786891,-0.10934982687449857,0.5499512041592948,0.10189143041306266,-0.2703962603029548,-0.5859682227843793,-0.3401968573365101,-0.14793510439736346,0.35984474146149825,0.3606615760379232,-0.07070785481989199,0.012697410261444582,-0.3841966870975056,0.31699126053779075,0.48205919072213016,0.14508630029165673,0.02186895059393916,-0.0022358517931047287,-0.4221905230851662,0.44057161764691294,0.357450045234447,0.19445337805665483,0.4898408729531721,0.0657307876136168,-0.196386574760255,-0.06736444389174495,0.23016951971293356,-0.05559601693137299,-0.13993211653821142,0.3388271396985238,0.09183989181039379,0.1721169799716627,0.2604593662843101,0.3164698982172444,0.46771641016571247,0.5866395490691412,0.3337975899224464,0.1493027453972184,0.17514688044925275,0.8512782099446311,0.410254265356182,0.40828324956783474,-0.2291049393588727,-0.22048090515961885,-0.12530305094176472,0.2446959962506849,0.5710942196711605,-0.3898238964983491,-0.08510154092771388,0.4981333822017328,0.23927097200696218,0.4595588350857295,-0.18963481627390377,0.28602407247003603,0.3068156350080764,-0.17819157668224853,0.402316060701866,0.2135362530992803,-0.3271590652790444,-0.3375071301940362,0.3759007527186297,-0.45537666634010177,0.1002441275594717,0.37416692191876444
ADSK,0.4252178798395901,0.6234393527675273,0.5025252854269996,0.3172937572512171,0.29632990495189193,1.0,-0.3773673259161335,0.29818825733612875,0.5624932646148983,0.40886607624208604,0.03039979847770444,0.4853083940135951,0.2776945826958501,0.41857738168676534,0.457603597670208,-0.31256420853301475,-0.2505186360184103,0.48347292741275233,0.5635285245306576,0.460699434762454,0.40409699193036874,0.5583989916378438,0.5059556622219283,0.5469987399712667,0.39624118701741584,0.37594212317657266,0.41632818351940054,0.4515279215577771,0.23521120124688702,0.38652038000098204,0.7351931631023726,0.5522731759893337,-0.22886252200985077,-0.06733935344843492,0.06989316747218108,0.38947782393447666,-0.32930409517299125,-0.3006690927444496,0.33928654891208637,0.45721141508441204,0.1387890259538475,0.0598268577203637,0.18518743713742594,-0.2783632972192309,0.4167652360889896,0.41716210393238007,-0.10878018578967927,0.40942205447874735,-0.2536733000755389,0.4324270334144544,0.5191152514344001,0.18460706150787745,-0.1421821065995045,-0.18808217619975298,-0.3809728566353535,0.5144931626404134,0.5280422249862163,0.2570556264363591,0.5808103533465466,0.6115082389283861,-0.0890471937750073,0.4212362057959424,0.40201558266259824,0.15420204440631577,-0.2556240890354994,0.538236475475203,0.3710110526326386,0.5010664876864316,0.5672906598643321,0.44536309678718633,0.7048939956805492,0.6076038371001136,0.48723490715460055,0.22459354630445966,0.43306532448187623,0.5011225200729708,0.5358699799271324,0.4242653164834155,-0.26972144021165556,-0.03536107319568481,0.4836605702561369,0.2301239236986404,0.41789444446278146,-0.05622633841774398,0.13327249085956655,0.08736759120915646,0.4725517814627382,0.7007825230992806,-0.038170032557675745,0.6199515599471599,0.4226442575367818,0.08337074122893336,0.36806060428224746,0.26386185384319355,-0.32447030791845394,0.19643049927010134,0.5653963680913348,-0.42874133862880615,0.5089441277028735,0.6109948312388223
AEP,-0.676759569331362,-0.5510315876255264,-0.8571855036467925,0.12461612559070202,-0.3684639227319126,-0.3773673259161335,1.0,0.04475497840492243,-0.8356515555751656,-0.6923608618343114,-0.33117557616455645,-0.837411477811471,-0.25042930760612153,-0.004794034101311839,-0.8460511971006331,0.3666548211453347,0.60218765866937,-0.8090681172707828,-0.7100514300841338,-0.8208901437696485,-0.8446466623943543,-0.6623305739567708,-0.7470946513138333,-0.8320892439430376,-0.8056904712874084,-0.8393338948683277,-0.6910788017769535,-0.33246989370465035,0.06373064272085985,-0.7594324941578371,-0.6677395068276105,-0.6163761014645739,0.7934413905355634,0.5419923789175265,-0.20901861423696125,0.438199181133332,0.8742221635573977,0.8563139760769359,-0.5957896233451755,-0.7412819345838129,-0.011034756635824958,0.16233019627565384,0.43034664268788164,0.7992980556634915,-0.8868666397031987,-0.8850685201692818,0.7129371926720965,0.200908639041715,0.8184292510520084,-0.7266540228608422,-0.833118055651942,-0.37061451470893775,0.7931239682145622,0.7752434870766135,0.9452100823838453,-0.7910547457523727,-0.8188000167205992,-0.6674936494591002,-0.8089354902210013,-0.13108238273987083,-0.014899887247086779,-0.5606678141060693,-0.8563219522199382,-0.20994115543074474,0.8763290868589477,-0.6628647328856088,-0.7622363691057521,-0.7748876486698066,-0.6834529249244075,-0.8685902835410297,-0.5958864607396959,-0.7601674665671758,-0.45189707215703817,-0.6318046803078468,-0.8261815294572681,-0.315685023015644,-0.8101428984561717,-0.4467840121738718,0.48926803879526093,0.8575912412804813,0.28515232532585544,-0.5510655196462825,-0.3377430423160873,0.7035503340822854,-0.6940447563128107,0.20604576395696406,-0.8661632846994408,-0.7944809818665253,0.3642541656138811,-0.7228075717915133,-0.7359368542531596,0.6470332125447953,-0.8631060866675302,-0.7474092404719423,0.9269441988802853,0.48846893681820935,-0.7719427856201074,0.963380303648707,0.3739228120643081,-0.8135037504319476
ALGN,0.33874533918313215,0.5777390323727636,-0.02603330474204945,0.7199454898184519,0.04677950065628366,0.29818825733612875,0.04475497840492243,1.0,0.2133407052277691,0.23519106993912275,-0.5228077954085477,0.09971385237506773,0.6807809389538271,0.40456013719317613,0.06938903735091667,0.3706838580896057,0.3657096117696586,0.26561068000231824,0.11247036224155711,0.08293931110082334,-0.30694962983926194,0.03488311027261554,0.29396824549653194,0.022418220819594617,0.11078129879721434,-0.1781680775145457,0.32404582190978676,0.09539737390542748,0.13510423020145154,-0.16890515324205163,0.23813333173862813,0.09412410733134155,0.3779061074847881,0.4239864922919895,-0.17003678483888815,0.5099759691964775,0.045178567766612165,0.14163172346459063,-0.2531316378883358,0.14600931863940286,0.6965206754666885,0.588235276564549,0.5510030137782334,-0.1596855732026107,0.10217012369963063,0.11551170674907842,-0.06457385524532779,0.7262795327447523,0.46851558411848176,-0.12764437678777588,0.032768794200235644,0.28144654893464005,-0.08280295578815529,0.1349770098641356,-0.021418272969883478,-0.08133742178411298,0.19767224181403661,-0.04685246572238503,0.20346492259778282,0.6177237716718429,0.37009274170456224,0.14631200292982516,0.16741272915008956,0.41150772968075666,0.027395125126060807,0.3435424398932747,0.06051168056317063,-0.02463230531195843,0.10696782146833357,0.17822020748529416,0.45990228090510116,0.2513476211824049,0.7639388991530134,0.08588353094771961,0.1318216043765327,0.1230167530564053,0.08624034958476558,-0.5021604513181224,0.5042705809553167,0.31877486927605203,0.07507480835772289,0.08600846652147734,-0.42885951311674286,0.055544313272900825,0.20511884685621093,-0.37588591888771833,-0.07568056463653099,0.2895469089373848,-0.3683381779069307,0.42113810550057895,0.4165456145289452,0.6144682156113063,0.10016376114368455,0.031551304754957474,0.16862095139934272,0.6068320143512954,0.2448092560314075,-0.08253747610222002,0.42668983802439225,-0.17270962604117085
AMAT,0.8890214233795685,0.7480233755538177,0.9174877125713254,0.27395387247618513,0.34303723907033423,0.5624932646148983,-0.8356515555751656,0.2133407052277691,1.0,0.8877305890328144,0.07712458141846862,0.9494707922426441,0.5447988526007475,0.44522196015263177,0.9569747197602563,-0.23708252252291226,-0.4774220753324937,0.8684155002935461,0.7149482108646457,0.9071911437564396,0.7650931000644869,0.5717866305122989,0.8178948797721648,0.8872691054439417,0.912894221926658,0.8271230350955858,0.6948847217331322,0.5956942532146883,0.25925477729817337,0.8416595658381735,0.7760636431926483,0.8390727433606266,-0.5023207804158912,-0.13829516832670194,0.43016735452159444,-0.2053600050072241,-0.8041001351053946,-0.6494586308655498,0.40871660743487964,0.8758568734683664,0.2982233870634549,0.13398004035715005,-0.200438545417047,-0.821639894008796,0.9087175677412108,0.9096794697352,-0.4767851512812269,0.23413854987553107,-0.6337388453220476,0.818840223798698,0.8657008028166153,0.6344757145452101,-0.7214640834958256,-0.6512670872548414,-0.8356503731117242,0.9242872159525496,0.9825696205135508,0.7366616180960956,0.8866254906633818,0.5290519295240579,0.300673180154477,0.6661814019729562,0.926255009264303,0.5167578870097436,-0.8167919276940666,0.8850871127651107,0.8867266879582871,0.8572240980542236,0.8981362530368658,0.9606880306734036,0.8489388177150908,0.8014833013659902,0.6341247752872222,0.7588542040030383,0.9080907867857422,0.4859443144824416,0.8871906986045394,0.3289070551246871,-0.17670796562885732,-0.6426432393875031,0.010501779243768754,0.39311339562157127,0.35030726536006296,-0.46616396918372827,0.6828176281724828,-0.154017827625989,0.9107298621424424,0.798294534780401,-0.3659543423474372,0.8819520062438384,0.8655067390246313,-0.3040583146591334,0.9007911810387156,0.7736602054589351,-0.8037590918959817,-0.25733606925438707,0.9326929742446871,-0.8498433052837907,-0.1419611785831366,0.8372789997537368
AMD,0.9340247990537301,0.6447217882737906,0.7624622337195651,0.4213150517434019,-0.004608861802244493,0.40886607624208604,-0.6923608618343114,0.23519106993912275,0.8877305890328144,1.0,-0.20354977595779555,0.8651738976747352,0.7082719269052931,0.6157512970407754,0.86806431362483,0.008485959971014537,-0.2315703355850776,0.7483912063500274,0.4041053970437102,0.8955204465632932,0.5524041008583626,0.24642057368005074,0.6278562146719218,0.7419582636474858,0.9190612139674128,0.790958509484023,0.4808429073309832,0.508435670563522,0.2935069645747079,0.7551480951831223,0.5577162933118647,0.788341037677686,-0.32228239779155393,0.10190987945228665,0.5167054884171973,-0.18520294316096017,-0.7168828365103439,-0.590957073285591,0.13024363354163235,0.8553673786585908,0.5025359277541231,0.42550544003245566,-0.07406757637095313,-0.7854740580777587,0.8412031546338218,0.8440382044020645,-0.41534861079462343,0.2729588578146912,-0.43901076721812504,0.7232055933102072,0.6957674490559144,0.7162338311125103,-0.7677491930728362,-0.6929098943887099,-0.6571054637507436,0.7782374673700858,0.8907929265161363,0.7163718940793177,0.7090527048908215,0.514130720055242,0.5142219735141508,0.6911098207267524,0.8917860430884771,0.6544240325213951,-0.7723765863521208,0.8347951060211303,0.9252337093363826,0.8303962964041944,0.8289363604164971,0.8905199813355456,0.6906674927910309,0.5344228198054843,0.5743252073970712,0.7796067453603683,0.868234875744548,0.20486361461843888,0.725533211058885,0.06374828470648594,0.04073563684578911,-0.5958558849609418,-0.0060708547887199085,0.2869420259009882,0.04228895929737223,-0.33092551177983154,0.7562842234624303,-0.36491703997718994,0.854557384134333,0.6194073372955812,-0.3919096289594913,0.8012408423811768,0.8253462634126004,-0.18917754990042907,0.8117658152861534,0.7453715154160856,-0.6596188852950434,-0.16636515432615145,0.8204383665826102,-0.6532417174945672,-0.21873410805117602,0.6944422923610895
