,,0
JD,SGEN,-0.9484146107382924
SGEN,JD,-0.9484146107382924
ILMN,CEG,-0.9355165778072296
CEG,ILMN,-0.9355165778072296
META,MRNA,-0.9269241223244242
MRNA,META,-0.9269241223244242
MRNA,CPRT,-0.9035210923047444
CPRT,MRNA,-0.9035210923047444
MRNA,CDNS,-0.903514488377724
CDNS,MRNA,-0.903514488377724
MRNA,CRWD,-0.9009016509734552
CRWD,MRNA,-0.9009016509734552
CRWD,WBA,-0.90073330126416
WBA,CRWD,-0.90073330126416
SNPS,WBA,-0.8977967825640162
WBA,SNPS,-0.8977967825640162
SNPS,MRNA,-0.8974570783435223
MRNA,SNPS,-0.8974570783435223
WBA,INTU,-0.8948917612674889
INTU,WBA,-0.8948917612674889
META,ENPH,-0.8928900567023635
ENPH,META,-0.8928900567023635
KHC,ADBE,-0.8927066548928411
ADBE,KHC,-0.8927066548928411
WBA,CEG,-0.8927010900528205
CEG,WBA,-0.8927010900528205
MRNA,NVDA,-0.8877009099188979
NVDA,MRNA,-0.8877009099188979
GOOG,AEP,-0.8868666397031987
AEP,GOOG,-0.8868666397031987
WBA,ADBE,-0.8864445732514749
ADBE,WBA,-0.8864445732514749
WBA,GOOG,-0.8859208728065657
GOOG,WBA,-0.8859208728065657
AEP,GOOGL,-0.8850685201692818
GOOGL,AEP,-0.8850685201692818
VRSK,WBA,-0.8847714629920903
WBA,VRSK,-0.8847714629920903
PANW,MRNA,-0.8838707344632375
MRNA,PANW,-0.8838707344632375
GOOGL,WBA,-0.8814936436055498
WBA,GOOGL,-0.8814936436055498
META,JD,-0.880749615263592
JD,META,-0.880749615263592
MRNA,MSFT,-0.8807232447056206
MSFT,MRNA,-0.8807232447056206
MRNA,FAST,-0.8804755072796222
FAST,MRNA,-0.8804755072796222
JD,CDNS,-0.8770833529629231
CDNS,JD,-0.8770833529629231
KHC,NVDA,-0.8764870419909938
NVDA,KHC,-0.8764870419909938
ENPH,GOOG,-0.8746801301839336
GOOG,ENPH,-0.8746801301839336
GOOGL,ENPH,-0.871787671917511
ENPH,GOOGL,-0.871787671917511
WBA,COST,-0.8716811209573644
COST,WBA,-0.8716811209573644
MRNA,AMZN,-0.8697117658373297
AMZN,MRNA,-0.8697117658373297
MRNA,GOOG,-0.8689286394653165
GOOG,MRNA,-0.8689286394653165
NVDA,AEP,-0.8685902835410297
AEP,NVDA,-0.8685902835410297
MRNA,GOOGL,-0.8679835049209471
GOOGL,MRNA,-0.8679835049209471
BKNG,ENPH,-0.8672132350014479
ENPH,BKNG,-0.8672132350014479
GOOG,KHC,-0.8668951356700151
KHC,GOOG,-0.8668951356700151
SNPS,AEP,-0.8661632846994408
AEP,SNPS,-0.8661632846994408
WBA,META,-0.8658194544530652
META,WBA,-0.8658194544530652
KHC,GOOGL,-0.8652823475464029
GOOGL,KHC,-0.8652823475464029
CDNS,ENPH,-0.864939942828612
ENPH,CDNS,-0.864939942828612
AMZN,ENPH,-0.8649263639004464
ENPH,AMZN,-0.8649263639004464
ENPH,SNPS,-0.8637461285244997
SNPS,ENPH,-0.8637461285244997
CPRT,JD,-0.8633105242762712
JD,CPRT,-0.8633105242762712
AEP,VRSK,-0.8631060866675302
VRSK,AEP,-0.8631060866675302
MRNA,VRSK,-0.8627202033913183
VRSK,MRNA,-0.8627202033913183
AVGO,KHC,-0.8625337571413242
KHC,AVGO,-0.8625337571413242
AVGO,MRNA,-0.8604833383037678
MRNA,AVGO,-0.8604833383037678
AMZN,WBA,-0.8588826756146011
WBA,AMZN,-0.8588826756146011
PANW,JD,-0.8582435858432541
JD,PANW,-0.8582435858432541
KHC,INTU,-0.8577084963612325
INTU,KHC,-0.8577084963612325
AEP,ADBE,-0.8571855036467925
ADBE,AEP,-0.8571855036467925
KHC,META,-0.8570559962294377
META,KHC,-0.8570559962294377
XEL,NVDA,-0.8565620908287926
NVDA,XEL,-0.8565620908287926
AEP,META,-0.8563219522199382
META,AEP,-0.8563219522199382
ENPH,CPRT,-0.8560463941167086
CPRT,ENPH,-0.8560463941167086
WBA,NVDA,-0.8559109297159161
NVDA,WBA,-0.8559109297159161
WBA,CDNS,-0.8556909500126996
CDNS,WBA,-0.8556909500126996
ENPH,NVDA,-0.8549759105061194
NVDA,ENPH,-0.8549759105061194
WBA,CTAS,-0.8546885283639386
CTAS,WBA,-0.8546885283639386
MRNA,BKNG,-0.8545038238492114
BKNG,MRNA,-0.8545038238492114
COST,ENPH,-0.854122485128255
ENPH,COST,-0.854122485128255
JD,MSFT,-0.8534570698342232
MSFT,JD,-0.8534570698342232
COST,MRNA,-0.8530230697293705
MRNA,COST,-0.8530230697293705
CEG,KHC,-0.8522651821584696
KHC,CEG,-0.8522651821584696
ENPH,VRSK,-0.8522417441167432
VRSK,ENPH,-0.8522417441167432
AMAT,XEL,-0.8498433052837907
XEL,AMAT,-0.8498433052837907
ENPH,MU,-0.8487591499870495
MU,ENPH,-0.8487591499870495
ENPH,CRWD,-0.8485004291361335
CRWD,ENPH,-0.8485004291361335
VRSK,KHC,-0.8479456270649762
KHC,VRSK,-0.8479456270649762
MRNA,ADBE,-0.847651626065291
ADBE,MRNA,-0.847651626065291
MRNA,SGEN,-0.8462208443093029
SGEN,MRNA,-0.8462208443093029
AVGO,AEP,-0.8460511971006331
AEP,AVGO,-0.8460511971006331
PCAR,MRNA,-0.845416219878421
MRNA,PCAR,-0.845416219878421
KHC,PCAR,-0.8453768005615098
PCAR,KHC,-0.8453768005615098
