Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DDOG,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM,ZS
2022-12-05,68826400,3601500,2542300,2615800,1256000,1547000,2496000,932600,4692500,47022200,3274700,71535500,507500,873900,1854800,4159400,1498400,279000,7352600,1441400,2397000,1509100,32751200,2455300,4013600,5780700,13795900,2217900,18867500,255200,3480500,4528500,2220900,2387300,1745200,4641100,3912200,8675600,2496400,3238900,3644100,,1340300,6811400,19955500,24405100,3077800,345800,1390500,34040400,1499000,1504900,9149600,5331800,4985700,1236400,1088600,1699600,2180100,3433600,4190000,597100,35474900,3413000,3525400,11345800,23435300,13806900,8423000,35225500,1208100,702700,4064700,331600,3521300,1415800,2328300,19490500,4083200,18317200,6091600,531100,2022100,9285800,614529,14386700,1358200,2909700,3103800,93122700,3482400,4875300,861300,812900,4501800,15244400,2480000,2151400,2942800,4946600
2022-12-06,64727200,8380900,2182200,3572100,1371300,1132300,4255100,708600,4571700,64965200,2608800,75503600,359500,839200,1965500,7135100,1036100,262800,6495600,1152400,1237500,1265200,22960400,2995900,4164000,4740900,15443800,1500300,14309800,295300,2494000,4096300,1603900,2454000,1943900,8691500,5609700,19809300,2009500,3899100,3714300,,1163300,6760500,20877600,24910700,2518400,316600,758100,27701200,1209800,1477800,7771300,6213300,5136000,1171300,925300,1199400,1898200,3428900,4819600,414000,43689200,3129800,3392300,8779900,22463700,17988000,7195400,35269400,1904000,590600,4905500,681700,2676500,1198300,3470250,9945000,5835100,14692600,5968000,502000,2651600,8383000,764764,12915400,858800,3444200,3161700,92150800,4085700,4417900,874500,1064400,4326300,25893000,2061500,2526600,2661100,3230700
2022-12-07,69721100,12640500,2055900,1881600,1265500,1281400,6140700,564200,6383600,59180100,2492600,68086900,391700,878600,1652400,4367200,1112700,415400,8315700,1674000,1237200,836200,22694000,2072600,4865000,4655200,15171700,1566300,14573900,436500,2577200,4613600,1969400,2169900,1489700,5533200,3787900,14466700,1795200,2377100,3172400,,1125400,8861700,26647900,31045400,2983500,302700,951800,28239900,968600,1195600,6229100,6277400,5307600,828000,1112900,1387000,2199600,3014200,7222700,587700,29461100,2356600,3579300,8219800,20481500,11367300,7821600,37238800,1427200,343500,3030500,558000,2385100,932000,2991150,12170500,4241700,24695600,5427100,565800,1983900,4194300,483037,12467600,817600,2930700,4646100,84213300,3952700,3242800,869100,871200,3775600,19258200,2057300,2659400,3422100,3162600
2022-12-08,62128300,6115700,2065800,2836300,1197200,1370100,3735000,663500,5493200,56734100,1769800,73305900,401300,1019300,2751400,2915600,1695600,314100,6371400,1397200,1002400,822000,17995500,2901000,3378000,4292600,16015800,2088700,11740200,364600,4565700,6946200,2305800,5622600,2259600,3855000,2336900,9186700,3625400,2741800,4109000,,1866400,6392200,25593200,32213300,2169500,393800,1096000,28486100,1525700,1431600,7278700,4679800,6093600,1130000,1237000,3344100,1849600,3677400,5929800,433400,30619400,2147000,3414000,9106100,22611800,13609100,7205300,51545600,2520300,534600,4364600,324100,4438000,1489900,2347350,17252400,3800800,13151100,7347600,588900,2467600,5465100,1520816,11545900,996500,5000800,7332400,97624500,3178200,3902700,640100,1147900,3587900,20565600,2222100,2160600,3056300,2577300
2022-12-09,76097000,4405800,1969200,2514900,1991400,1031000,2552300,603600,4705700,59058300,2205700,67398500,476100,870700,3702800,4488600,982600,242000,8401700,1299800,1384600,1104800,18016900,4211100,3502600,3014600,14303200,1806500,10533200,236800,6282300,4638400,2237600,3274300,1985500,4083600,2399700,5334200,2872100,2782800,3784700,,1297900,8276300,21885300,28225400,2260000,300400,896700,25641300,1061300,2102900,7993600,7246400,5887400,1380300,954200,9306000,1264100,3210400,4819200,409500,26033400,2733800,3497800,7312000,20609700,9932200,14364000,46533800,1962000,1053700,3530200,327200,2492100,1563700,4638000,10133700,3116100,11781600,6036000,508500,2037600,7999600,898284,8435200,819000,3911100,6986800,104872300,2444900,3966700,928200,1007700,7710800,29007300,1647700,3793100,2185200,1678800
2022-12-12,70462700,4664100,2914700,2966800,1277600,1344400,2132700,1106900,4831400,60968300,3427400,61999800,548000,819600,2341600,4146700,1067300,335000,7562700,1414100,1554100,1369900,29169100,2276400,3537200,3034600,15425300,2467100,14105800,352500,7712100,4703900,1516500,2609400,1666800,4238100,2509200,5326100,3968200,2554800,3808500,,3411800,5968400,27380900,29420000,3347000,294600,1358600,35117900,1810500,1887600,7473900,7400900,4650800,1555800,1213800,4119800,1554500,4293000,6225000,518100,24747100,3051400,5202200,9327200,30665100,13250600,10148600,45732800,2048400,913000,5151700,342900,3061000,1271200,3148950,9548400,4691400,13652800,9008400,843100,1744500,5796000,1581765,9467400,968700,4693900,4053900,109794500,3609800,5347000,908800,1401800,6156800,50053900,2179100,1967300,2836900,1957000
2022-12-13,93886200,7378900,3428000,4778100,2086100,1535400,4842800,1031100,9557300,72458000,3871300,100212000,771300,1334000,4041400,5187900,937200,418900,8617500,1657400,1629900,1593600,28358300,2626700,5813400,4455100,22705900,3177900,15518000,522300,5222000,6809600,2220400,2935400,2416600,5656600,2552000,8747600,4811300,6782400,4640600,,2776200,8462200,34788500,40593700,3449800,620300,1172800,58546800,3247700,2938200,8382900,8782600,5797300,2221900,1536900,2618500,2177700,5413200,6992100,880500,44701100,3328000,26239600,12390300,42196900,14210500,10756400,65658900,3081300,1186800,4856100,521100,3570100,1255300,3997350,12671700,5634900,20069600,9712700,671200,2163000,7066000,1478809,15129600,1130400,5678600,10037600,175862700,5516200,6951000,707100,2006200,6089300,29922800,2998600,3171000,4017800,2602300
2022-12-14,82291200,6737800,3236500,3202500,1863100,1404500,3048300,694100,6429300,67278000,3795000,70298000,619000,1167500,3521800,4356500,905300,401500,7634400,1459400,2561600,5720000,33913400,2145000,4530400,3936000,19050400,3062300,11698400,286300,4461400,5196600,1808800,3270100,1477000,5659400,2755000,7271200,4133300,4635800,3709400,,2752300,8643500,26452900,28733600,2545900,567300,1249400,37141100,1631400,2945100,7296700,9561500,7140700,1557000,1210800,2816600,2464700,3707500,7986500,579600,36922000,5544800,21435200,13428200,35410900,11235300,7543300,49688800,1968700,1282900,10941600,529500,1886200,2155500,3580050,6806600,5392500,18298800,9444100,563200,2184500,5624000,1073239,13779800,1483000,6887800,7511800,140682300,4288800,5114600,771600,1402500,4575300,35547900,2945400,2551600,3570300,1959300
2022-12-15,98931900,5332000,5498700,3985000,1843200,1808200,6069100,2746600,6773500,58557000,3200400,84802900,573200,1420500,3687600,4669400,1090200,342300,6016000,1584600,2245100,3138300,27711600,3437700,4735600,3237200,19372500,2933200,14795000,591600,4896000,3833200,2293100,2651000,1686500,5167300,3469100,6088400,2998200,5085800,4501600,1318200.0,2738300,9898600,28298800,40107000,3221400,447400,1405000,45682700,1741300,2590300,8436200,11241900,6140800,2091600,1553100,2073000,2517700,6190000,7717300,652100,34531000,3933800,9641000,12079200,35560400,17785000,17724600,47854200,2570300,1121300,12351400,485300,4769200,2076300,4172850,9092900,6127800,17639900,10207800,622400,3293100,7244400,1307282,16720700,1343800,6388300,6130400,122334500,5953100,6007300,1195100,1008900,5693500,47972800,2349100,3265700,3700700,2578400
2022-12-16,160156900,6830200,11940700,7411900,4051700,2292800,6084100,2033800,12925700,62438600,8789000,146144100,1274900,2097300,4954900,6391300,3046700,807900,53992500,2992900,3911700,3718500,68862200,4909200,9435600,5041900,66125400,24253000,33977100,854900,8720800,4464300,3587600,6255700,4312600,14561000,4635800,18680200,12724100,7069500,14845300,2307500.0,25953400,28313000,48485500,58011800,7128500,990700,2342800,81104200,3565600,5296800,7517300,20447400,10880200,2360900,1771500,2170500,4943500,9412500,17584900,731000,67064000,12225800,11819400,20177700,86102000,22951400,14080000,47823200,3696400,2130800,8463400,1180700,4641800,2859800,7423200,8431800,15708100,25735200,12733900,1803000,5324400,13862300,1565993,33316700,2397100,17456200,15119400,139032200,7885500,10423600,1877300,3091400,10867100,158082500,2142100,6745300,4695600,3000200
2022-12-19,79592600,4717100,4086300,2621800,1810400,1281000,3337000,1176600,6162500,46246900,2679800,83531500,590100,906800,2509200,3774900,863400,278500,6470200,944700,1238100,1543800,23725000,1939200,3678400,4214000,17986300,2282300,10633100,335900,3315400,3053300,2179700,2093500,1606700,7817400,2349200,6261000,1879400,3135400,4871600,117200.0,2072900,5834800,23020500,29493000,3089800,355500,1203700,37662500,1535400,2004200,6995500,9273100,7268900,1122800,1064500,1247600,2019600,5084800,7117200,723800,29769900,3345000,6953300,10651200,29696400,16470000,6163700,35403900,1418200,811900,6366600,524000,3138000,1810100,2984250,9061600,4447800,15330000,7720200,502000,2423900,5771100,696519,11987400,1218400,6813300,5643700,139390600,4699800,4507000,833900,1658200,5436400,42430500,2169000,2150300,3182500,2202900
2022-12-20,77432800,7325800,3873600,2102300,1445900,949400,1975400,903400,4761800,52431300,1609100,74348300,432500,845700,2983100,2486500,873100,245300,7202600,1353500,1306600,1461500,31933000,1993700,2854800,3453800,15086200,2379800,17911200,435700,4526000,3021000,1967300,2247300,1181100,4273300,2257400,7406600,1668400,2709500,4342100,22200.0,1569300,10999000,21976800,23453800,1875900,376200,1157500,31863300,1320100,2056600,4568100,7863600,5525100,903400,909700,2354200,1675400,2666600,5718300,540300,28742500,3049800,9561800,11441900,25150800,16942000,6918100,40326000,1101400,656800,4571200,432300,3829700,1501400,3250500,7110800,3249000,9470900,6260200,551400,2136400,4533500,915453,8822500,1056600,5887200,3925300,159563300,4536300,3777600,719600,1287700,4716900,42837300,1751600,2208800,2936000,1692700
2022-12-21,85928000,5594800,2583000,2181400,1341300,1177300,2399200,819000,4889100,44167600,2057000,59267200,456400,797700,2561900,2855200,797000,251000,5871400,1178700,1409500,2002400,23001300,1462400,3093600,6792700,15599400,1751200,11474600,529900,3954900,2546800,2066700,1948500,1615100,4050000,3877300,4721800,2396500,2127100,6803100,290700.0,1694400,5320700,20336400,24745600,2625200,367300,1054900,28100900,1330100,1626000,4726200,5664000,4822200,1125000,946400,2324900,2284300,3209500,5608500,409900,20392800,2477800,7584000,9160000,23690600,20400800,6376200,32502500,1737500,782000,5063300,398600,4195500,2282600,2535450,6073500,4236900,13861600,5843800,532500,2572000,5566300,1191157,12282100,532100,2691900,4327400,145417400,2819500,3632100,689600,1539400,7081600,25650700,2541500,1774600,3254100,2337300
2022-12-22,77852100,5643100,2319300,2972000,2369700,1998700,3310100,728800,11326600,73917700,1979100,81431300,392000,1351800,2755300,2492800,946500,252700,6317500,1154000,1548300,1671300,30953300,1906100,3459000,4377800,23118500,1958700,8422300,439200,4040600,3365500,1657400,1742300,1335300,3930500,3084000,6052400,2354400,3243100,4906400,3253200.0,1858100,4698800,23656100,27658300,2220000,312300,854200,47478300,1312600,2015500,5318200,6452900,6832300,2075700,3175700,1499300,1837200,7644500,4856700,470100,23618100,3077400,5374600,14074200,28651700,40959600,7856200,56504500,2759100,591900,9874500,372600,4360800,4399900,3855900,6384600,4304700,16488200,12051400,506300,2250100,4756900,624724,17851400,677000,4557200,4692300,210090300,3661900,7188700,653400,1189200,5997000,28566000,2016800,1870600,4180100,1859400
2022-12-23,63814900,3057700,1629800,1498300,1049600,941100,1406200,931500,4753500,45923000,1465500,57433700,208900,602600,1376100,2322600,624800,157800,5648400,709700,600700,1377200,12383700,1229500,2050000,3325200,9554400,878200,6854900,205100,2155800,2125300,1023100,1078800,844700,2421200,2338800,3317900,1759500,1553000,2958800,125800.0,747100,3955400,17815000,23003000,1300700,191900,738700,23600900,705200,1042000,5041600,4176600,4947800,892000,1054600,933500,1067600,2501200,3365200,288100,17796600,1430600,6166000,6097600,21207000,17425700,4251100,34932600,1212300,430500,3351500,188400,2966600,2503100,2305650,3867500,2197800,9990400,5356700,358600,1317100,3944500,629264,9712800,341200,2282200,1857900,166989700,2421700,2597000,470600,701100,3476700,19035100,1130100,1201300,2209200,1467700
2022-12-27,69007800,3982400,1464300,1932000,926700,914100,1327300,729900,6121400,36086000,1604700,57284000,220300,802600,1667700,2089000,638600,231500,3801000,615200,634400,1373800,15313600,1230800,2747800,3101900,12066200,922600,10152300,317600,3434700,2213800,1318700,1746700,823500,3953700,3282600,6136100,1560200,1980900,2804500,26500.0,1072600,3455900,15470900,20097300,1461000,273600,820300,29548100,823300,957400,8114700,5069500,5298200,988700,1112000,1287900,1350000,3642200,3139400,294000,21392300,3000200,6736000,8452600,16688600,15159100,5778100,46490200,1374900,526700,5072500,265200,2994200,1494900,1560150,7944200,3045000,10323800,6158100,548600,1362600,4402500,573009,8266100,467900,1579400,2784400,208643400,2639400,3535600,497900,671100,3940100,22207700,745400,1580600,3581800,1689200
